Epoch	Loss	Accuracy
0	0.116738313546	0.255479969743
1	0.109271011362	0.341647770219
2	0.105360537424	0.374716553288
3	0.102319397826	0.404950869192
4	0.101225642323	0.403911564603
5	0.100528308363	0.415343915366
6	0.099448853694	0.426114890378
7	0.0988562336348	0.429421768696
8	0.0980556019309	0.430650037793
9	0.0975669047493	0.440098261527
10	0.0962602326299	0.448507180628
11	0.0960138609924	0.445389266795
12	0.0943494616126	0.461923658397
13	0.0942738546412	0.463246409652
14	0.0940370981667	0.462396069539
15	0.0928077590134	0.472222222245
16	0.093132305803	0.468253968276
17	0.0939031911173	0.463907785291
18	0.0916947449134	0.482898715042
19	0.0915219002401	0.479591836757
20	0.0903803923267	0.488851095994
21	0.0905815456921	0.484693877551
22	0.0894963784891	0.489984882887
23	0.089811187184	0.501700680317
24	0.0895815083725	0.500944822373
25	0.0875836917772	0.505574452026
26	0.0867903114987	0.514644746743
27	0.0870992815571	0.510770975102
28	0.0867741036363	0.514077853409
29	0.0869430636682	0.509259259259
30	0.0869271591227	0.512755102041
31	0.0867058778025	0.51351095994
32	0.0868169141994	0.514077853386
33	0.0858723819875	0.523431594905
34	0.083909145688	0.532974300831
35	0.0840970209757	0.530139833689
36	0.0839512926595	0.534486016629
37	0.0839405660366	0.53656462585
38	0.0831456631985	0.540154950892
39	0.0821684570371	0.547524565427
40	0.0820779696343	0.54875283449
41	0.0815634907801	0.54582388511
42	0.0815736885187	0.552626606198
43	0.0808380761452	0.554421768662
44	0.0796922557647	0.560279667468
45	0.0799701948251	0.55716175359
46	0.0778170840946	0.578136810325
47	0.0761681379284	0.592214663598
48	0.0765474832202	0.585789871549
49	0.0769878421387	0.582766439864
